field_name,type,required_predictive,required_replay,allowed_values_or_units,heat_path_lane,runtime_input_class,forbidden_substitutes,fluid_mapping_hint,source_paths
case_id,string,true,true,case identifier,external_convection;radiation;insulation_quartz,setup_or_row_identity,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.case_id,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
segment_id,string,true,true,1D segment or grouped physical region,external_convection;radiation;wall_conduction;insulation_quartz,setup_geometry_mapping,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.segment_id,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
patch_group,string,true,true,patch name or grouped patch role,external_convection;radiation;contact_layer_resistance,setup_patch_role,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.patch_group,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
physical_role,string,true,true,ambient_wall;heater;cooler;test_section;junction_other;zeroGradient_other,all_boundary_lanes,setup_patch_role,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.physical_role,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
mode,string,true,true,predictive;replay;diagnostic_sensitivity;blocked_missing_fields,all_boundary_lanes,runtime_policy,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.mode,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
convection_active,boolean,true,true,true;false,external_convection,setup_mode_selector,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.convection_active,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
radiation_active,boolean,true,true,true;false,radiation,setup_mode_selector,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.radiation_active,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
layer_resistance_active,boolean,true,true,true;false,wall_conduction;insulation_quartz,setup_mode_selector,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.layer_resistance_active,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
h_W_m2_K,float,conditional,false,W/m2/K,external_convection,setup_boundary_field,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.h_W_m2_K,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
Ta_K,float,conditional,false,K,external_convection,setup_boundary_field,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.Ta_K,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
Tsur_K,float,conditional,false,K,radiation,setup_boundary_field,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.Tsur_K,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
emissivity,float,conditional,false,0 to 1,radiation,setup_boundary_field,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.emissivity,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
area_m2,float,true,false,m2,external_convection;radiation;wall_conduction;insulation_quartz,setup_geometry,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.area_m2,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
coverage_factor,float_or_label,true,false,0 to 1 or documented grouped multiplier,external_convection;radiation;insulation_quartz,setup_geometry_mapping,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.coverage_factor,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
wall_layer_resistance_status,string,conditional,conditional,see contract,external_boundary,setup_or_policy,none,ExternalBoundary.wall_layer_resistance_status,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
drive_temperature_selector,string,true,false,bulk;inner_wall;outer_wall;surface;ambient;surroundings,external_convection;radiation;wall_conduction,setup_model_policy,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.drive_temperature_selector,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
radiation_policy,string,true,true,predictive_radiation;embedded_in_wallHeatFlux_replay;radiation_off_sensitivity;not_applicable,radiation,runtime_policy,forbidden: realized wall heat flux; validation temperatures; heat residual,ExternalBoundary.radiation_policy,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
source_use_category,string,conditional,conditional,see contract,external_boundary,setup_or_policy,none,ExternalBoundary.source_use_category,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_1_external_bc_radiation_integration/external_bc_dictionary_contract.csv
