role_row_index,source_case_id,source_segment_id,patch_group,role,mode,parent_segment,h_W_m2K,area_m2,hA_W_K,coverage_multiplier,Ta_K,Tsur_K,emissivity,drive_selector,source,source_paths
1,salt_2,cooling_branch,ambient_wall,ambient_wall,predictive,top_horizontal_inlet,4.045201782,0.00814292,0.03293975449468344,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
2,salt_2,cooling_branch,ambient_wall,ambient_wall,predictive,cooled_incline_pre_hx,4.045201782,0.00814292,0.03293975449468344,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
3,salt_2,cooling_branch,ambient_wall,ambient_wall,predictive,cooled_incline_post_hx,4.045201782,0.00814292,0.03293975449468344,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
4,salt_2,cooling_branch,ambient_wall,ambient_wall,predictive,top_horizontal_exit,4.045201782,0.00814292,0.03293975449468344,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
5,salt_2,downcomer,ambient_wall,ambient_wall,predictive,right_vertical,3.42388628,0.063435,0.2171942261718,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
6,salt_2,junction,junction_other,junction_other,predictive,top_horizontal_inlet,9.621920204,0.010619699,0.1021818963684986,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
7,salt_2,junction,junction_other,junction_other,predictive,top_horizontal_exit,9.621920204,0.010619699,0.1021818963684986,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
8,salt_2,junction,junction_other,junction_other,predictive,bottom_horizontal_inlet,9.621920204,0.010619699,0.1021818963684986,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
9,salt_2,junction,junction_other,junction_other,predictive,bottom_horizontal_exit,9.621920204,0.010619699,0.1021818963684986,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
10,salt_2,lower_leg,ambient_wall,ambient_wall,predictive,heated_incline,3.945999179,0.016563776,0.06536064649713991,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
11,salt_2,upcomer,ambient_wall,ambient_wall,predictive,left_lower_vertical,3.703887805,0.025156559,0.09317707209586298,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
12,salt_2,upcomer,ambient_wall,ambient_wall,predictive,left_upper_vertical,3.703887805,0.025156559,0.09317707209586298,1.0,299.19,299.19,0.95,fluid_segment_bulk_temperature_for_v1_setup_mode,phase_e_train_full_solve,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
