segment_name,parent_name,parent_start_fraction,parent_end_fraction,refinement_level,segment_type,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,q_ambient_W_per_m,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,prandtl_inner,nusselt_inner,h_inner_multiplier,profile_descriptor_htc_signal,profile_descriptor_friction_signal,profile_descriptor_developing_signal,profile_descriptor_htc_shape_signal,profile_descriptor_friction_shape_signal,profile_descriptor_htc_shape_contribution,profile_descriptor_htc_developing_contribution,profile_descriptor_friction_shape_contribution,profile_descriptor_friction_developing_contribution,profile_descriptor_source_kind,profile_descriptor_source_case_id,profile_descriptor_reference_path,profile_descriptor_section_id,profile_descriptor_section_label,profile_descriptor_htc_multiplier,profile_descriptor_friction_multiplier,outer_conv_multiplier,outer_rad_multiplier,outer_insulation_multiplier,R_i_prime_K_m_W,R_wall_prime_K_m_W,R_ins_prime_K_m_W,R_o_prime_K_m_W,R_total_prime_K_m_W,T_pipe_outer_wall_K,T_outer_surface_K,external_boundary_source,external_boundary_drive_selector,external_ambient_temperature_K,external_surroundings_temperature_K,external_emissivity,external_prescribed_h_W_m2K,external_boundary_coverage_multiplier,upcomer_exchange_Q_main_to_reservoir_W,upcomer_exchange_Q_reservoir_to_main_W,upcomer_reservoir_setup_heat_W,upcomer_exchange_reservoir_energy_residual_W,upcomer_main_stream_temperature_K,upcomer_reservoir_temperature_K,upcomer_prediction_stream,axial_mixing_mode,axial_mixing_parent_segments,axial_mixing_q_from_prev_W,axial_mixing_q_to_next_W,axial_mixing_net_W,axial_mixing_residual_W,tswfc2_mode,tswfc2_node_ids,tswfc2_node_count,tswfc2_q_fluid_to_inner_wall_W,tswfc2_q_wall_conduction_W,tswfc2_q_external_W,tswfc2_energy_residual_W,tswfc2_inner_wall_temperature_K,tswfc2_outer_wall_temperature_K,tswfc2_external_drive_temperature_K,tswfc2_node_overlap_fraction,tswfc2_effective_hA_W_K,tswfc2_drive_selector,tswfc2_ambient_temperature_K,tswfc2_baseline_ambient_heat_W,tswfc2_node_minus_baseline_heat_W,tswfc2_baseline_covered_heat_W,tswfc2_baseline_uncovered_heat_W,tswfc2_selected_coupled_heat_W,tswfc2_guarded_residual_heat_W,tswfc2_unresolved_residual_heat_W,tswfc2_node_surplus_heat_W,tswfc2_coupling_mode,notes
left_lower_vertical__s00,left_lower_vertical,0.0,0.3333333333333333,1,vertical,0.0,0.12141199999999998,374.6712250834195,373.88749500726476,374.2793600453421,0.0,0.0,6.99664093934536,57.62726039720424,252.2007073200978,3.710084661674509,5.3884872359442495,10.425545371733953,91.91309882932981,10.392071511400138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.05711508899158949,0.0014651204615411964,4.405462408712248,0.45911546793060287,4.923158086095981,373.39587964705623,306.92705194219064,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg below the test section.
left_lower_vertical__s01,left_lower_vertical,0.3333333333333333,0.5,1,vertical,0.12141199999999998,0.182118,373.88749500726476,373.11190248891455,373.49969874808966,0.0,0.0,6.92399402708128,114.05782010149373,317.76947228493674,4.283412884485043,5.376961898718852,10.231727527337165,93.64690183112002,13.092849874519462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.045329923415088284,0.00146630767758849,4.412544111131626,0.43241542776770564,4.891755769992009,372.79693517393116,306.4971683686268,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg below the test section.
left_lower_vertical__s02,left_lower_vertical,0.5,0.6666666666666666,1,vertical,0.182118,0.24282399999999998,373.11190248891455,372.34436303518805,372.7281327620513,0.0,0.0,6.852101415903576,112.87354488689057,317.78654935541385,4.272247234660519,5.375100789316573,10.04221029424403,95.40652124898521,13.09249808095811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.045327487496077706,0.0014674844623443037,4.419548961488546,0.4329993158631164,4.8993432493100855,372.0338426914975,306.42767527939617,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg below the test section.
left_lower_vertical__s03,left_lower_vertical,0.6666666666666666,1.0,1,vertical,0.24282399999999998,0.364236,372.34436303518805,371.5847930302067,371.9645780326974,0.0,0.0,6.780955273818965,55.850783067727775,252.24135229787885,3.6788542726985303,5.382597882641578,9.85689593054067,97.19211684735265,10.391234213057688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.05710588573644565,0.001468650889429239,4.4264776906511445,0.46099620929010804,4.946048436567127,371.11267534832785,306.70748825245926,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg below the test section.
test_section__s00,test_section,0.0,0.5,1,test_section,0.364236,0.4572,371.5847930302067,372.86497492099693,372.2248839756018,18.5,0.0,7.071497663251634,76.06705459373127,287.26961956186545,6.962493962109845,8.080785286598022,10.335384008896307,96.58058324178444,11.358480094799868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.052244458953182714,0.013827672229927042,0.0,0.8834097751999125,0.9494819063830222,367.1983795987676,367.1983795987676,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Transparent quartz test section. Uninsulated by user instruction.
test_section__s01,test_section,0.5,1.0,1,test_section,0.4572,0.550164,372.86497492099693,374.1275931814902,373.4962840512436,18.5,0.0,7.228296184215392,77.75371309555733,287.24381366940844,6.990451829504048,8.125539102983106,10.65947938788423,93.65672552154169,11.358990304452421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.052249152578685024,0.013827672229927042,0.0,0.8791603540069021,0.9452371788155142,368.35798193044127,368.35798193044127,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Transparent quartz test section. Uninsulated by user instruction.
left_upper_vertical__s00,left_upper_vertical,0.0,0.3333333333333333,1,vertical,0.550164,0.671576,374.1275931814902,373.3495076967081,373.7385504390992,0.0,0.0,6.9462496371802365,57.21221656162686,252.2097223797495,3.702841408055288,5.38710858998986,10.290857007627464,93.11107949525996,10.391885781086318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.05711304745278832,0.0014659437658373965,4.410374961333204,0.4595509430936169,4.928504895645447,372.8624725806002,306.8756729871619,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg above the test section.
left_upper_vertical__s01,left_upper_vertical,0.3333333333333333,0.49999999999999994,1,vertical,0.671576,0.732282,373.3495076967081,372.57950116130144,372.96450442900476,0.0,0.0,6.874125943491896,113.23635132428254,317.7812378409063,4.275675479168308,5.375670603848013,10.100027995334022,94.86274406749982,13.092607496956658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.04532824511666306,0.001467123749990011,4.41740336296836,0.43281994639342003,4.897018678228433,372.26762112336144,306.4489541832475,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg above the test section.
left_upper_vertical__s02,left_upper_vertical,0.49999999999999994,0.6666666666666666,1,vertical,0.732282,0.792988,372.57950116130144,371.8174896906273,372.1984954259644,0.0,0.0,6.802751118252433,112.06060551267473,317.79870708338245,4.264540889480648,5.373825098660935,9.913431684207753,96.64033622301233,13.092247644834657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.04532575344477355,0.001468293353854049,4.4243554189781875,0.43340282983805967,4.904552295614875,371.5100075235938,306.3800292305651,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg above the test section.
left_upper_vertical__s03,left_upper_vertical,0.6666666666666666,1.0,1,vertical,0.792988,0.9144000000000001,371.8174896906273,371.0633902710266,371.44043998082697,0.0,0.0,6.732117385876242,55.44853380124074,252.25130146170372,3.671698609391118,5.3812684942102935,9.730971759281488,98.44401228809987,10.391029288226072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.057103633395984905,0.0014694526509318763,4.4312318583515395,0.4614282860492971,4.9512332304477535,370.5956488611338,306.65789740041714,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Left vertical leg above the test section.
