case_id,fluid_case_name,split_role,residual_kind,sensor,sensor_kind,predicted_K,reference_K,residual_K,runtime_input,post_solve_reference_only,claim_boundary,predicted_mdot_kg_s,reference_mdot_kg_s,residual_mdot_kg_s
salt_2,Salt 2,train,temperature,TP1,TP,365.33604312187606,453.26,-87.92395687812393,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TP2,TP,nan,446.63,nan,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TP3,TP,374.6712250834195,446.66999999999996,-71.99877491658049,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TP4,TP,371.5847930302067,449.74,-78.15520696979331,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TP5,TP,374.1275931814902,451.64,-77.51240681850976,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TP6,TP,371.0633902710266,456.71999999999997,-85.65660972897336,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW1,TW,361.2945582948929,443.86,-82.5654417051071,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW10,TW,365.6631348058633,389.74,-24.0768651941367,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW11,TW,366.49754605744454,448.40999999999997,-81.91245394255543,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW2,TW,357.2208906366495,445.08,-87.85910936335051,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW3,TW,353.52541832421076,443.56999999999994,-90.04458167578917,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW4,TW,356.51004295959456,445.49,-88.97995704040545,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW5,TW,362.5961917506733,471.68999999999994,-109.09380824932663,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW6,TW,368.69387849696426,467.02,-98.32612150303572,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW7,TW,372.41538893271434,453.23,-80.81461106728568,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW8,TW,371.8888143234776,450.31999999999994,-78.43118567652232,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,temperature,TW9,TW,368.7168497960317,450.66999999999996,-81.95315020396828,False,True,"train residual attribution only, not validation or holdout score",,,
salt_2,Salt 2,train,mass_flow,mdot,flow,,,,False,True,"train mass-flow residual attribution only, not validation or holdout score",0.00626567502343775,0.0168,-0.010534324976562249
