case_id,case_key,time_window_s,required_field_or_artifact,category,needed_for,availability_status,basis,path,bytes,runtime_policy,admission_use
salt_2,salt2_jin_nominal_continuation,7915,U,native_time_field,required_for_velocity_mask_and_exchange_flux,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/U,106942636,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,T,native_time_field,required_for_paired_thermal_state,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/T,47306843,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,p,native_time_field,required_for_pressure_residual,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/p,29657958,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,p_rgh,native_time_field,required_for_hydrostatic_pressure_basis,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/p_rgh,32114189,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,rho,native_time_field,required_for_mass_flux_and_weighted_temperatures,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/rho,27936583,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,mu,native_time_field,required_for_R_mu_direct_dynamic_viscosity,missing_direct_policy_needed_for_rho_times_nuEff_proxy,nuEff_and_rho_present_but_R_mu_policy_not_admitted,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/nuEff,37865951,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,nuEff,native_time_field,diagnostic_possible_mu_proxy_only_after_policy,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/nuEff,37865951,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,phi,native_time_field,possible_face_flux_basis_not_exchange_interface_by_itself,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/phi,102359836,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,wallHeatFlux,native_time_field,forbidden_runtime_diagnostic_wall_heat_source_only,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/wallHeatFlux,3057313,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,cellVolume,derived_or_generated,required_for_V_recirc_if_not_computed_from_mesh,missing_generated_field_mesh_available,mesh_available_but_cellVolume_not_written,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/constant/polyMesh/owner,49392708,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,recircMask,derived_or_generated,required_for_connected_recirculation_cell_mask,missing_generated_mask,requires_new_mask_generation_or_U_dot_n_fallback_policy,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/recircMask,0,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,exchange_interface_vtk,generated_surface,required_for_mdot_exchange,missing_generated_surface,requires_named_interface_surface_generation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,0,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,wall_surface_vtk,generated_surface,required_for_wall_core_delta_T_and_wall_heat_diagnostic,partial_existing_wall_diagnostics,wall_probe_or_diagnostic_exists_but_exchange_wall_surface_not_confirmed,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,0,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,source_sink_ledger,case_setup_or_generated_ledger,required_for_Q_source_Q_sink_energy_residual,partial_case_setup_text_only,needs_same_window_Q_source_Q_sink_ledger,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/functions,20460,diagnostic_only_not_predictive_runtime_input,audit_only
salt_2,salt2_jin_nominal_continuation,7915,mesh_stations,repo_work_product,required_for_upcomer_station_geometry,present,repo_mesh_centerline_work_product,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,13897,diagnostic_only_not_predictive_runtime_input,audit_only
salt_3,salt3_jin_nominal_continuation,7618,U,native_time_field,required_for_velocity_mask_and_exchange_flux,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7618/U,106669107,diagnostic_only_not_predictive_runtime_input,audit_only
salt_3,salt3_jin_nominal_continuation,7618,T,native_time_field,required_for_paired_thermal_state,present,native_decomposed_time_dir,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7618/T,47306408,diagnostic_only_not_predictive_runtime_input,audit_only
