gate_id,source_id,case_id,span,property_mode,orientation,Re,Pr,Gr,Gr_star,Ri,Ra,Gz,hydraulic_reset_distance_m,hydraulic_reset_status,thermal_reset_status,reverse_flow_metric_status,source_envelope_status,pressure_residual_gate,same_qoi_uq_gate,single_stream_developing_allowed,blocking_reasons,coefficient_admission_status,source_paths
GSSB-001,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_cp_1560_k_060,mostly_horizontal,68.783683,23.271447,1863.77,333.48151,0.39393219,43372.625,286.41005,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-002,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,jin_viscosity_parida_cp_santini_k,mostly_horizontal,68.783683,23.529302,1863.77,333.48151,0.39393219,43853.208,289.58357,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-003,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,replication_reis_jadyn,mostly_horizontal,53.091204,51.342315,1110.3672,198.6763,0.39393219,57008.821,487.72774,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-004,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,shen_celsius_comparison,mostly_horizontal,68.783683,22.140687,1863.77,333.48151,0.39393219,41265.148,272.49338,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-005,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_lower_leg,sohal_janz_full,mostly_horizontal,53.091204,55.603727,1110.3672,198.6763,0.39393219,61740.554,528.20914,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-006,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,jin_viscosity_cp_1560_k_060,mostly_horizontal,64.770238,23.271447,1863.77,284.14248,0.44426422,43372.625,229.79614,0.14309042,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-007,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,jin_viscosity_parida_cp_santini_k,mostly_horizontal,64.770238,23.529302,1863.77,284.14248,0.44426422,43853.208,232.34235,0.14309042,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-008,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,replication_reis_jadyn,mostly_horizontal,49.993396,51.342315,1110.3672,169.28188,0.44426422,57008.821,391.31989,0.14309042,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-009,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,shen_celsius_comparison,mostly_horizontal,64.770238,22.140687,1863.77,284.14248,0.44426422,41265.148,218.63034,0.14309042,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-010,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,left_upper_leg,sohal_janz_full,mostly_horizontal,49.993396,55.603727,1110.3672,169.28188,0.44426422,61740.554,423.79945,0.14309042,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
