source_label,source_path,exists,row_count,sha256,mutation_status
scientific_synthesis,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/next_evidence_sequence.csv,true,6,2994c3fc420dd302bb1db905f9929a2fd74fdcdeb60144a1e48b13c1c86ff90a,read_only
pressure_corner_freeze,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv,true,3,a8e3af96dd34cc6f3d29d759401180aa3eb6020296e9140017d7e139a59fdb0b,read_only
same_qoi_uq,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,true,83,17aa894dc9b081750c2017d533b808823b65880e0037d04ba4b8bd6fe8d6043a,read_only
nonrecirc_anchor_inventory,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/candidate_anchor_inventory.csv,true,4,be9c5a5c9f19d2dfbade0380c4d33a7eda1f44f30f587f34646a2a43886f7eb0,read_only
nonrecirc_source_selection,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/source_case_selection.csv,true,3,2e26d83f7327e14407296ec4a5c176f97731b02dc602ef865625b71c4f428dfe,read_only
endpoint_contract,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv,true,2,fad166a9999d363ead213284e988d76004b077c7169b9cc2dd5fa6eb71b7d632,read_only
same_qoi_family_plan,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/same_qoi_uq_family_plan.csv,true,2,d55e2e7b0fd66c64605d3aa2661178bb5075fb4d8826481484f105e63131e041,read_only
staging_selection,work_products/2026-07/2026-07-20/2026-07-20_f6_two_tap_nonrecirc_staging/source_case_selection.csv,true,3,f8e1575738f6bd9b7247f6a95e063ad0cce6c5aeff6ec394776170c97d60ba6d,read_only
high_heat_case_index,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/high_heat_case_index.csv,true,4,63963cef5b245454bad23f909887d8de311dd87dbc2fe8b6c3165325947e3399,read_only
high_heat_readiness,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv,true,4,4d8780d42eab79318dee2cd64c7843dd18cf8530fcf816d7b5bfb8bcc1d4efc9,read_only
f6_anchor_terminal_refresh,work_products/2026-07/2026-07-17/2026-07-17_f6_anchor_first_refinement/terminal_status_refresh.csv,true,8,4ce41dd59cd045eea563c8f866e96663ca88579f9fd153c0e31251d6404a77cd,read_only
matched_plane_recirc,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv,true,53,baca4cc1c2a6c2ea4103aec998537ebfe53d63bf09a2b1b8d3bebf5c5225105a,read_only
matched_plane_readiness,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv,true,5,c81cd23bea922451ba1b011fbc5ccf3fdd9fb3d133a5213ce3e2b8e7d0c0a849,read_only
