case_id,time_window_s,field_or_property,field_kind,required_lane,geometry_or_mask_ready,whole_mesh_or_property_present,sampled_surface_field_present,contract_status,next_action,source_path
salt_2,7915,U,whole_mesh_cell,interface_U,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_exchange_interface.vtk
salt_2,7915,T,whole_mesh_cell,interface_T,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_exchange_interface.vtk
salt_2,7915,rho,whole_mesh_cell,interface_rho,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_exchange_interface.vtk
salt_2,7915,T,trusted_wall_surface,wall_T,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_trusted_wall.vtk
salt_2,7915,p_or_p_rgh,whole_mesh_or_surface,interface_pressure,true,false,false,blocked_missing_pressure_basis,find_or_generate same-window p/p_rgh basis before pressure residual,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_exchange_interface.vtk
salt_2,7915,wallHeatFlux,trusted_wall_surface,wallHeatFlux,true,false,false,blocked_missing_wallHeatFlux_Q_wall,find_or generate same-window wallHeatFlux field before Q_wall_W integration,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_2_trusted_wall.vtk
salt_2,7915,mu_or_nu,whole_mesh_cell,mu_or_nu,true,false,false,blocked_missing_mu_or_nu_basis,define runtime-legal viscosity/property source before R_mu,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_2_seeded_recirc_cell_mask.csv
salt_2,7915,cp_J_kg_K,property_contract,cp_J_kg_K,false,false,false,blocked_missing_cp_property_contract,release cp property value and provenance before energy residual,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk
salt_3,7618,U,whole_mesh_cell,interface_U,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,T,whole_mesh_cell,interface_T,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,rho,whole_mesh_cell,interface_rho,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,T,trusted_wall_surface,wall_T,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_trusted_wall.vtk
salt_3,7618,p_or_p_rgh,whole_mesh_or_surface,interface_pressure,true,false,false,blocked_missing_pressure_basis,find_or_generate same-window p/p_rgh basis before pressure residual,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,wallHeatFlux,trusted_wall_surface,wallHeatFlux,true,false,false,blocked_missing_wallHeatFlux_Q_wall,find_or generate same-window wallHeatFlux field before Q_wall_W integration,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_trusted_wall.vtk
salt_3,7618,mu_or_nu,whole_mesh_cell,mu_or_nu,true,false,false,blocked_missing_mu_or_nu_basis,define runtime-legal viscosity/property source before R_mu,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv
salt_3,7618,cp_J_kg_K,property_contract,cp_J_kg_K,false,false,false,blocked_missing_cp_property_contract,release cp property value and provenance before energy residual,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk
salt_4,10000,U,whole_mesh_cell,interface_U,true,true,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,eligible_for_limited_scheduler_sampled_field_extraction,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_exchange_interface.vtk
