sensor,kind,acceptance_class,one_d_map_state,one_d_segment_or_state,one_d_fraction_or_marker,projection_gate,finite_prediction_gate,path_basis_source
TP1,TP,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,top_horizontal_exit,1,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TP2,TP,mapped,mapped_to_projected_right_downcomer_bottom_horizontal_junction,right_downcomer_bottom_horizontal_junction,junction,restore_candidate_native_cfd_near_right_downcomer_bottom_horizontal_junction,fail,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_sensor_level_evidence.csv
TP3,TP,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,left_lower_vertical,0,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TP4,TP,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,left_lower_vertical,1,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TP5,TP,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,test_section,1,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TP6,TP,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,left_upper_vertical,1,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW1,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.25,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW2,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.5,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW3,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,right_vertical,0.75,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW4,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,heated_incline,0.25,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW5,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,heated_incline,0.5,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW6,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,heated_incline,0.75,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW7,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,left_lower_vertical,0.5,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW8,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,left_upper_vertical,0.5,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW9,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,cooled_incline_pre_hx,0.75,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
TW10,TW,excluded,excluded_active_hx_shell_state_absent,active_hx_shell_state_not_emitted,excluded,excluded_until_active_hx_shell_state_model_exists,fail,work_products/2026-07/2026-07-15/2026-07-15_sensor_tp2_restore_tw10_exclude/sensor_tp2_tw10_policy_refresh.csv
TW11,TW,bounded,mapped_to_1d_path_with_bounded_coordinate_claim,cooled_incline_post_hx,0.25,exact_on_current_fluid_path,pass,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv
