sensor,kind,acceptance_class,coordinate_claim_level,registry_x_m,registry_y_m,native_centroid_x_m,native_centroid_y_m,native_centroid_z_m,native_probe_count,placement_class,coordinate_basis,coordinate_caveat,source_paths
TP1,TP,bounded,not_exact_measurement,0.910054932446635,0.601656780943009,0.887519,0.70409,0,1,provisional_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TP2,TP,mapped,projected_from_native_cfd_junction_evidence,0.910054932446635,-0.3127432190569915,0.887519,-0.245426,0,1,projected_1d_validation_target,AGENT-463 TP2 gated 1D projection,Projected onto the 1D bottom-horizontal/right-downcomer junction for validation-only scoring; not a runtime input or fit target.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TP3,TP,bounded,not_exact_measurement,0.0,0.0,0,0,0,1,provisional_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TP4,TP,bounded,not_exact_measurement,0.0,0.364236,0,0.323501,0,1,provisional_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TP5,TP,bounded,not_exact_measurement,0.0,0.550164,0,0.574779,0,1,provisional_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TP6,TP,bounded,not_exact_measurement,0.0,0.9144,0,0.949515,0,1,provisional_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW1,TW,bounded,mixed_provenance_not_exact,0.910054932446635,0.373056780943009,0.88751925,0.534132,0,4,source_backed_directionally,user approximate registry note plus 2D-backed downcomer direction,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW2,TW,bounded,mixed_provenance_not_exact,0.910054932446635,0.144456780943009,0.88751925,0.229332,0,4,source_backed_directionally,user approximate registry note plus 2D-backed downcomer direction,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW3,TW,bounded,mixed_provenance_not_exact,0.910054932446635,-0.0841432190569915,0.887519,-0.07546775,0,4,source_backed_directionally,user approximate registry note plus 2D-backed downcomer direction,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW4,TW,bounded,not_exact_measurement,0.669841199334976,-0.234557414292744,0.648452,-0.20334325,0,4,approximate_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW5,TW,bounded,not_exact_measurement,0.455027466223317,-0.156371609528496,0.44376,-0.12271275,0,4,approximate_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW6,TW,bounded,not_exact_measurement,0.240213733111659,-0.0781858047642479,0.239068,-0.04208275,0,4,approximate_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW7,TW,bounded,mixed_provenance_not_exact,0.0,0.182118,0,0.169958,0,4,source_backed_directionally,user approximate registry note plus 2D-backed upcomer direction,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW8,TW,bounded,mixed_provenance_not_exact,0.0,0.732282,0,0.75394,0,4,source_backed_directionally,user approximate registry note plus 2D-backed upcomer direction,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW9,TW,bounded,not_exact_measurement,0.240213733111659,0.836214195235752,0.604664,0.76342075,0,4,approximate_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW10,TW,excluded,excluded_shell_surrogate,0.455027466223317,0.758028390471504,0.44376,0.82680275,0,4,approximate_working_placement,user approximate registry note,excluded because active HX shell state is absent,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
TW11,TW,bounded,not_exact_measurement,0.669841199334976,0.679842585707256,0.282856,0.89018475,0,4,approximate_working_placement,user approximate registry note,Approximate initial placement only; not an exact experimental measurement.,work_products/2026-07/2026-07-16/2026-07-16_tp2_1d_model_evidence/tp2_projected_sensor_registry.csv;jadyn_runs/salt2/2026-06-01_continuation_candidate/tp_tw_probe_locations.csv
