case_key,case_id,source_key,canonical_split_role,source_segment_id,physical_role,requested_scope,coverage_status,fluid_parent_segments,h_W_m2_K,Ta_K,Tsur_K,emissivity,area_m2,coverage_factor,wall_layer_resistance_status,drive_temperature_selector,radiation_policy,source_paths
salt1_nominal,salt_1,salt1_jin_nominal_continuation_corrected,train,cooling_branch,ambient_wall,requested_train_ambient_wall,blocked_missing_external_bc_row,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_post_hx;top_horizontal_exit,,,,,,,,,,work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_runtime_dictionary.csv
salt1_nominal,salt_1,salt1_jin_nominal_continuation_corrected,train,downcomer,ambient_wall,requested_train_ambient_wall,blocked_missing_external_bc_row,right_vertical,,,,,,,,,,work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_runtime_dictionary.csv
salt1_nominal,salt_1,salt1_jin_nominal_continuation_corrected,train,lower_leg,ambient_wall,requested_train_ambient_wall,blocked_missing_external_bc_row,heated_incline,,,,,,,,,,work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_runtime_dictionary.csv
salt1_nominal,salt_1,salt1_jin_nominal_continuation_corrected,train,upcomer,ambient_wall,requested_train_ambient_wall,blocked_missing_external_bc_row,left_lower_vertical;left_upper_vertical,,,,,,,,,,work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_runtime_dictionary.csv
salt2_jin_nominal,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,cooling_branch,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_post_hx;top_horizontal_exit,4.045201782,299.19,299.19,0.95,0.03257168,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt2_jin_nominal,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,downcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,right_vertical,3.42388628,299.19,299.19,0.95,0.063435,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt2_jin_nominal,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,lower_leg,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,heated_incline,3.945999179,299.19,299.19,0.95,0.016563776,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt2_jin_nominal,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,upcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,left_lower_vertical;left_upper_vertical,3.703887805,299.19,299.19,0.95,0.050313118,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt3_jin_nominal,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,train,cooling_branch,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_post_hx;top_horizontal_exit,4.117217539,299.79,299.79,0.95,0.032571682,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt3_jin_nominal,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,train,downcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,right_vertical,3.490328488,299.79,299.79,0.95,0.063435,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt3_jin_nominal,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,train,lower_leg,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,heated_incline,4.023408039,299.79,299.79,0.95,0.016563776,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt3_jin_nominal,salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,train,upcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,left_lower_vertical;left_upper_vertical,3.773078793,299.79,299.79,0.95,0.050313118,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt4_nominal,salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,train,cooling_branch,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_post_hx;top_horizontal_exit,4.216948761,299.97,299.97,0.95,0.032571682,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt4_nominal,salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,train,downcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,right_vertical,3.585349949,299.97,299.97,0.95,0.063435,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt4_nominal,salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,train,lower_leg,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,heated_incline,4.129743128,299.97,299.97,0.95,0.016563776,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt4_nominal,salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,train,upcomer,ambient_wall,requested_train_ambient_wall,available_predictive_parser_candidate,left_lower_vertical;left_upper_vertical,3.873728187,299.97,299.97,0.95,0.050313118,1.0,available_from_layer_metadata_future_compute,fluid_segment_bulk_temperature_for_v1_setup_mode,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
