case_id,case_key,time_window_s,field_or_diagnostic,needed_for_outputs,current_status,release_path,blocking_for_compute_sample,admission_policy
salt_2,salt2_jin_nominal_continuation,7915,U,recircMask fallback; mdot_exchange,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,T,T_main; T_recirc; wall_core_delta_T,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,rho,R_rho; mdot_exchange; tau_recirc,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,p_rgh,pressure residual support,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,Re,onset/support classification,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,Pr,onset/support classification,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,Ri,one-stream versus recirculating-flow gate,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,Gr,buoyancy support classification,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,Ra,buoyancy support classification,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,cellVolume,V_recirc; tau_recirc; T_main/T_recirc volume weighting,missing,add trusted cell-volume export or mesh-volume parser before launch,true,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,recircMask_or_U_fallback,recirculation-cell partition,derivable_from_U_dot_throughflow_normal,use dry parser fallback and record recirc_mask_basis,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,mu,R_mu,optional_missing,emit R_mu_status=not_available_with_reason:missing_mu,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,wallHeatFlux,wall_core_delta_T support; energy residual diagnostic source term,derivable_in_task_owned_staged_case,run field-function-object in a scheduler-authorized row,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,U,recircMask fallback; mdot_exchange,present_in_reconstructed_time_dir,none,false,diagnostic_only_no_fit_no_exchange_cell_admission
