case_id,case_key,time_window_s,patch,q_w,q_lane,bc_type,source_file,status,basis,admission_use
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_lower_04_straight,88.5666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_lower_05_straight,88.5666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_lower_06_straight,88.5666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_upper_04_reducer,-16.1386020428,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_upper_05_cooler,-104.07353582,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_upper_06_reducer,-16.1386020428,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,pipeleg_left_04_test_section,37,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_lower_04_straight,99.1666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_lower_05_straight,99.1666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_lower_06_straight,99.1666666667,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_upper_04_reducer,-18.0957307678,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
