scenario_id,case_id,variant_id,input_family,level,root_status,accepted_for_validation,root_rejection_reason,pressure_root_bracketed,temperature_root_bracketed,temperature_periodicity_error_K,pressure_residual_Pa,mdot_model_kg_s,deltaP_buoyancy_Pa,deltaP_losses_Pa,qhx_total_W,qambient_total_W,start_temperature_K,end_temperature_K,predicted_air_outlet_temperature_K,validity_status,validity_rejection_reason,solve_duration_s,score_or_admission_status
salt_2__V01__upstream_plus_0p10,salt_2,V01,heater_source_fraction,upstream_plus_0p10,accepted,true,,true,true,-4.7591584007e-09,-8.21899703851e-09,0.0201541114132,34.9459015113,34.9459015031,46.3095216518,256.390033305,515.549280315,515.54928031,366.819306842,valid,,62.4036716875,not_scored_not_admitted_smoke_only
salt_2__V01__downstream_plus_0p10,salt_2,V01,heater_source_fraction,downstream_plus_0p10,accepted,true,,true,true,8.17180989543e-10,7.68439747389e-08,0.0195684266422,33.8472542323,33.8472543091,46.3437397435,256.355858468,515.873508514,515.873508514,366.872057388,valid,,62.5422246763,not_scored_not_admitted_smoke_only
salt_2__V02__hx_ua_0p8,salt_2,V02,cooler_hx_strength,hx_ua_0p8,accepted,true,,true,true,2.14095052797e-09,9.32541155407e-08,0.020266039314,34.1552893616,34.1552894548,39.1237359871,263.575847397,519.456526899,519.456526901,355.668224981,valid,,62.7721752441,not_scored_not_admitted_smoke_only
salt_2__V02__hx_ua_1p2,salt_2,V02,cooler_hx_strength,hx_ua_1p2,accepted,true,,true,true,5.07230879521e-09,-8.68044836011e-08,0.0201731367441,35.9290697239,35.9290696371,52.6977738279,250.001963449,511.955456442,511.955456448,376.936481852,valid,,62.5919538215,not_scored_not_admitted_smoke_only
salt_2__V03__ambient_minus_2K,salt_2,V03,ambient_temperature,ambient_minus_2K,accepted,true,,true,true,5.54337020731e-10,3.25003810531e-08,0.0201412924022,35.1887642124,35.1887642449,46.0663478213,256.633319133,514.485263416,514.485263417,366.442850643,valid,,60.8732618438,not_scored_not_admitted_smoke_only
salt_2__V03__ambient_plus_2K,salt_2,V03,ambient_temperature,ambient_plus_2K,accepted,true,,true,true,-7.24867277313e-10,-7.33130463004e-08,0.0203082820594,34.9654194165,34.9654193432,46.5457827404,256.153883026,516.542039128,516.542039128,367.185320765,valid,,59.8351117671,not_scored_not_admitted_smoke_only
salt_2__V04__external_hA_0p5,salt_2,V04,external_convection_hA,external_hA_0p5,accepted,true,,true,true,-5.97083271714e-10,-1.05476715362e-07,0.0207507417802,34.047785503,34.0477853975,48.1862875149,254.513625379,523.425011736,523.425011735,369.732034578,valid,,62.8286762051,not_scored_not_admitted_smoke_only
salt_2__V04__external_hA_2p0,salt_2,V04,external_convection_hA,external_hA_2p0,accepted,true,,true,true,-2.60286014964e-10,-5.63332136494e-08,0.0194132013673,36.9072400169,36.9072399606,43.4593087525,259.239733104,503.575689214,503.575689214,362.420028557,valid,,63.4018301917,not_scored_not_admitted_smoke_only
salt_2__V05__radiation_on,salt_2,V05,radiation,radiation_on,accepted,true,,true,true,-5.70696556679e-09,-9.79072751761e-08,0.0202249109771,35.0763772664,35.0763771685,46.3059033707,256.393763167,515.51307171,515.513071704,366.813732013,valid,,62.2315865271,not_scored_not_admitted_smoke_only
salt_2__V07__major_loss_0p9,salt_2,V07,pressure_loss_terms,major_loss_0p9,accepted,true,,true,true,-4.6295554057e-09,-1.64905245015e-08,0.0211585285057,33.5271778162,33.5271777997,46.3152041537,256.384475436,515.305395064,515.30539506,366.828491964,valid,,62.1479762644,not_scored_not_admitted_smoke_only
salt_2__V07__major_loss_1p1,salt_2,V07,pressure_loss_terms,major_loss_1p1,accepted,true,,true,true,-1.0777512216e-10,4.46756516226e-08,0.0194008027078,36.5679568027,36.5679568474,46.2969821236,256.402671725,515.711335632,515.711335632,366.799581571,valid,,62.3084703255,not_scored_not_admitted_smoke_only
salt_3__V01__upstream_plus_0p10,salt_3,V01,heater_source_fraction,upstream_plus_0p10,accepted,true,,true,true,2.98518898489e-09,5.21506891005e-08,0.022360071765,35.206539404,35.2065394562,49.7467977738,284.752616825,531.092589508,531.092589511,372.902736525,valid,,62.820468517,not_scored_not_admitted_smoke_only
salt_3__V01__downstream_plus_0p10,salt_3,V01,heater_source_fraction,downstream_plus_0p10,accepted,true,,true,true,2.82796008833e-09,1.18175762509e-08,0.0217150364202,34.0859826985,34.0859827103,49.7819080303,284.717550182,531.422520714,531.422520717,372.957366501,valid,,62.9325025799,not_scored_not_admitted_smoke_only
salt_3__V02__hx_ua_0p8,salt_3,V02,cooler_hx_strength,hx_ua_0p8,accepted,true,,true,true,-3.37558958563e-09,5.99544591751e-09,0.0224589854281,34.4805873248,34.4805873308,42.0028210648,292.496626019,535.06350765,535.063507647,360.758963252,valid,,62.6760985972,not_scored_not_admitted_smoke_only
salt_3__V02__hx_ua_1p2,salt_3,V02,cooler_hx_strength,hx_ua_1p2,accepted,true,,true,true,1.48850176629e-09,1.61547433208e-08,0.0224041705437,36.1339176872,36.1339177033,56.6371615574,277.862447992,527.436956934,527.436956936,383.946500355,valid,,62.7852202104,not_scored_not_admitted_smoke_only
salt_3__V03__ambient_minus_2K,salt_3,V03,ambient_temperature,ambient_minus_2K,accepted,true,,true,true,2.40095232584e-09,-8.26075634563e-08,0.0223592533545,35.4345387125,35.4345386299,49.5088484292,284.990687283,530.054988182,530.054988184,372.530764063,valid,,62.8480412802,not_scored_not_admitted_smoke_only
salt_3__V03__ambient_plus_2K,salt_3,V03,ambient_temperature,ambient_plus_2K,accepted,true,,true,true,2.20768470172e-09,1.10535509634e-08,0.0225164372759,35.2466333441,35.2466333551,49.9776160154,284.52191728,532.057523183,532.057523186,373.263817839,valid,,61.295685878,not_scored_not_admitted_smoke_only
salt_3__V04__external_hA_0p5,salt_3,V04,external_convection_hA,external_hA_0p5,accepted,true,,true,true,3.10535597237e-09,9.43301543543e-08,0.0229563153138,34.4034593915,34.4034594858,51.6955812796,282.804212805,539.244657723,539.244657727,375.956961936,valid,,62.9712889036,not_scored_not_admitted_smoke_only
salt_3__V04__external_hA_2p0,salt_3,V04,external_convection_hA,external_hA_2p0,accepted,true,,true,true,1.27874955069e-09,7.57598925816e-08,0.0216351544787,37.0137099504,37.0137100261,46.7860496418,287.712836917,518.685692302,518.685692303,368.288441997,valid,,63.4066161094,not_scored_not_admitted_smoke_only
salt_3__V05__radiation_on,salt_3,V05,radiation,radiation_on,accepted,true,,true,true,-9.27229848458e-10,-2.00182483923e-08,0.0224379768059,35.3400146806,35.3400146606,49.7430738118,284.756460812,531.055703912,531.055703911,372.896945635,valid,,62.6851798389,not_scored_not_admitted_smoke_only
salt_3__V07__major_loss_0p9,salt_3,V07,pressure_loss_terms,major_loss_0p9,accepted,true,,true,true,1.52249413077e-09,-8.25361894385e-08,0.0234371313415,33.8323407233,33.8323406408,49.7521199993,284.747432385,530.848871704,530.848871706,372.911488896,valid,,62.9773663087,not_scored_not_admitted_smoke_only
salt_3__V07__major_loss_1p1,salt_3,V07,pressure_loss_terms,major_loss_1p1,accepted,true,,true,true,-1.08605036075e-09,-9.52108081265e-09,0.0215513410929,36.7951325666,36.7951325571,49.7343653827,284.765152108,531.253650395,531.253650394,372.882953654,valid,,62.7117133727,not_scored_not_admitted_smoke_only
salt_4__V01__upstream_plus_0p10,salt_4,V01,heater_source_fraction,upstream_plus_0p10,accepted,true,,true,true,2.68892108579e-09,-1.03429897536e-07,0.0249462168403,35.7313582948,35.7313581913,53.9108531863,320.688390975,549.264727247,549.26472725,379.670976102,valid,,65.3448457727,not_scored_not_admitted_smoke_only
salt_4__V01__downstream_plus_0p10,salt_4,V01,heater_source_fraction,downstream_plus_0p10,accepted,true,,true,true,2.56318344327e-09,1.23718514544e-07,0.0242332560044,34.5774625828,34.5774627065,53.9473136554,320.65197496,549.602958956,549.602958958,379.728242875,valid,,64.5118204597,not_scored_not_admitted_smoke_only
salt_4__V02__hx_ua_0p8,salt_4,V02,cooler_hx_strength,hx_ua_0p8,accepted,true,,true,true,2.84410361928e-09,1.31077641186e-07,0.0250273497984,35.0696598724,35.0696600035,45.487930922,329.111350205,553.300730518,553.300730521,366.318748442,valid,,85.6003922028,not_scored_not_admitted_smoke_only
salt_4__V02__hx_ua_1p2,salt_4,V02,cooler_hx_strength,hx_ua_1p2,accepted,true,,true,true,7.81597009336e-10,-8.11354468055e-08,0.025021896961,36.6058942062,36.6058941251,61.4124426975,313.18701315,545.545215157,545.545215157,391.847356694,valid,,60.7524685459,not_scored_not_admitted_smoke_only
salt_4__V03__ambient_minus_2K,salt_4,V03,ambient_temperature,ambient_minus_2K,accepted,true,,true,true,-4.69412952953e-10,-1.36356241853e-07,0.0249598194748,35.9464660782,35.9464659419,53.6788018932,320.920575453,548.257425884,548.257425883,379.304604943,valid,,64.5254801055,not_scored_not_admitted_smoke_only
salt_4__V03__ambient_plus_2K,salt_4,V03,ambient_temperature,ambient_plus_2K,accepted,true,,true,true,-6.69160726829e-10,3.38551870982e-08,0.025104407858,35.7927759325,35.7927759664,54.1354523269,320.463921013,550.19737208,550.19737208,380.025836178,valid,,64.6068482157,not_scored_not_admitted_smoke_only
salt_4__V04__external_hA_0p5,salt_4,V04,external_convection_hA,external_hA_0p5,accepted,true,,true,true,-4.48358150607e-09,-1.22905653654e-07,0.0255343805441,35.0268633727,35.0268632498,55.9459406747,318.653707911,557.739238776,557.739238771,382.892457014,valid,,86.2864383925,not_scored_not_admitted_smoke_only
salt_4__V04__external_hA_2p0,salt_4,V04,external_convection_hA,external_hA_2p0,accepted,true,,true,true,-8.30368662719e-10,3.80089915097e-09,0.0242539091283,37.3812369414,37.3812369452,50.8214357447,323.777265943,536.369745512,536.369745511,374.80848077,valid,,63.365576121,not_scored_not_admitted_smoke_only
salt_4__V05__radiation_on,salt_4,V05,radiation,radiation_on,accepted,true,,true,true,1.70564362634e-09,-1.06750057682e-07,0.0250322463943,35.8691774686,35.8691773619,53.9069751001,320.69240018,549.226882102,549.226882103,379.664888813,valid,,64.8391721947,not_scored_not_admitted_smoke_only
salt_4__V07__major_loss_0p9,salt_4,V07,pressure_loss_terms,major_loss_0p9,accepted,true,,true,true,-8.32869773149e-10,-1.2063948418e-07,0.0260968636095,34.4051481976,34.4051480769,53.915677306,320.683721139,549.021251433,549.021251432,379.679078013,valid,,65.6519478839,not_scored_not_admitted_smoke_only
salt_4__V07__major_loss_1p1,salt_4,V07,pressure_loss_terms,major_loss_1p1,accepted,true,,true,true,-8.57198756421e-10,1.14966809406e-07,0.024081442142,37.2862502756,37.2862503906,53.8985613921,320.700791743,549.424271114,549.424271114,379.651179611,valid,,65.3621396245,not_scored_not_admitted_smoke_only
