scenario_id,case_id,fluid_case_name,source_id,variant_id,input_family,level,train_only,run_order,execute_solve,skip_reason,model_mode,ambient_temperature_K,radiation_on,insulation_thickness_in,air_flow_Lpm,air_inlet_temperature_K,mdot_search_lower_kg_s,mdot_search_upper_kg_s,hx_ua_multiplier,heater_source_mode,heater_source_weights_by_span,outer_closure_mode,outer_conv_multiplier_by_parent_segment,major_loss_multiplier,coefficient_admission_allowed,source_property_release_allowed,fit_allowed,model_selection_allowed,protected_scoring_allowed
salt_2__V00__nominal,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V00,baseline_frozen_setup,nominal,true,0,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_2__V01__upstream_plus_0p10,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V01,heater_source_fraction,upstream_plus_0p10,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,tw4_to_tp3_three_span,"{""tw4_to_tw5"": 0.55, ""tw5_to_tw6"": 0.35, ""tw6_to_tp3"": 0.1}",baseline,,1,false,false,false,false,false
salt_2__V01__downstream_plus_0p10,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V01,heater_source_fraction,downstream_plus_0p10,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,tw4_to_tp3_three_span,"{""tw4_to_tw5"": 0.35, ""tw5_to_tw6"": 0.35, ""tw6_to_tp3"": 0.30000000000000004}",baseline,,1,false,false,false,false,false
salt_2__V02__hx_ua_0p8,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V02,cooler_hx_strength,hx_ua_0p8,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,0.8,baseline,,baseline,,1,false,false,false,false,false
salt_2__V02__hx_ua_1p2,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V02,cooler_hx_strength,hx_ua_1p2,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1.2,baseline,,baseline,,1,false,false,false,false,false
salt_2__V03__ambient_minus_2K,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V03,ambient_temperature,ambient_minus_2K,true,1,true,,predictive_airside_hx,297.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_2__V03__ambient_plus_2K,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V03,ambient_temperature,ambient_plus_2K,true,1,true,,predictive_airside_hx,301.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_2__V04__external_hA_0p5,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V04,external_convection_hA,external_hA_0p5,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,per_parent_multiplier,"{""bottom_horizontal"": 0.5, ""cooled_incline_hx_active"": 0.5, ""cooled_incline_post_hx"": 0.5, ""cooled_incline_pre_hx"": 0.5, ""heated_incline"": 0.5, ""left_lower_vertical"": 0.5, ""left_upper_vertical"": 0.5, ""right_vertical"": 0.5, ""test_section"": 0.5, ""top_horizontal"": 0.5}",1,false,false,false,false,false
salt_2__V04__external_hA_2p0,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V04,external_convection_hA,external_hA_2p0,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,per_parent_multiplier,"{""bottom_horizontal"": 2.0, ""cooled_incline_hx_active"": 2.0, ""cooled_incline_post_hx"": 2.0, ""cooled_incline_pre_hx"": 2.0, ""heated_incline"": 2.0, ""left_lower_vertical"": 2.0, ""left_upper_vertical"": 2.0, ""right_vertical"": 2.0, ""test_section"": 2.0, ""top_horizontal"": 2.0}",1,false,false,false,false,false
salt_2__V05__radiation_on,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V05,radiation,radiation_on,true,1,true,,predictive_airside_hx,299.19,true,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_2__V06__property_mode_api_skip,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V06,fluid_property_mode,property_mode_api_skip,true,1,false,Fluid ScenarioConfig does not switch property mode; requires declared case/property lane row.,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_2__V07__major_loss_0p9,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V07,pressure_loss_terms,major_loss_0p9,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,0.9,false,false,false,false,false
salt_2__V07__major_loss_1p1,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V07,pressure_loss_terms,major_loss_1p1,true,1,true,,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1.1,false,false,false,false,false
salt_2__V08__projection_audit_only,salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,V08,sensor_projection,projection_audit_only,true,1,false,post_solve_projection_audit_uses_baseline_outputs,predictive_airside_hx,299.19,false,1,37,299.19,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_3__V00__nominal,salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,V00,baseline_frozen_setup,nominal,true,0,true,,predictive_airside_hx,299.79,false,1,37,299.79,0.005,0.05,1,baseline,,baseline,,1,false,false,false,false,false
salt_3__V01__upstream_plus_0p10,salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,V01,heater_source_fraction,upstream_plus_0p10,true,1,true,,predictive_airside_hx,299.79,false,1,37,299.79,0.005,0.05,1,tw4_to_tp3_three_span,"{""tw4_to_tw5"": 0.55, ""tw5_to_tw6"": 0.35, ""tw6_to_tp3"": 0.1}",baseline,,1,false,false,false,false,false
salt_3__V01__downstream_plus_0p10,salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,V01,heater_source_fraction,downstream_plus_0p10,true,1,true,,predictive_airside_hx,299.79,false,1,37,299.79,0.005,0.05,1,tw4_to_tp3_three_span,"{""tw4_to_tw5"": 0.35, ""tw5_to_tw6"": 0.35, ""tw6_to_tp3"": 0.30000000000000004}",baseline,,1,false,false,false,false,false
salt_3__V02__hx_ua_0p8,salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,V02,cooler_hx_strength,hx_ua_0p8,true,1,true,,predictive_airside_hx,299.79,false,1,37,299.79,0.005,0.05,0.8,baseline,,baseline,,1,false,false,false,false,false
