case_id,split_group,sensor,sensor_index,prediction_source_segment,m3_signed_error_K,d3_signed_error_K,d3_minus_m3_signed_error_K,d3_reduced_abs_error,d3_correction_K,target_K
salt_2,train,TW1,1,right_vertical,-40.633159456,-12.0330884413,28.6000710147,True,28.6000710147,467.697970491
salt_2,train,TW11,11,cooled_incline_post_hx,-17.271104755,-12.4920239486,4.7790808064,True,4.77908080637,445.002081849
salt_2,train,TW2,2,right_vertical,-36.532233907,-10.3142619132,26.2179719938,True,26.2179719938,463.211943356
salt_2,train,TW3,3,right_vertical,-14.63414885,9.20172412301,23.835872973,True,23.835872973,441.131603593
salt_2,train,TW4,4,heated_incline,-13.081145501,8.37262845118,21.4537739522,True,21.4537739522,441.775882728
salt_2,train,TW5,5,heated_incline,-11.244133199,7.82754173235,19.0716749313,True,19.0716749313,442.329709555
salt_2,train,TW6,6,heated_incline,-9.445686404,7.24388950652,16.6895759105,True,16.6895759105,443.132161297
salt_2,train,TW7,7,left_lower_vertical,-15.476958641,-1.16948175131,14.3074768897,True,14.3074768897,451.279802536
salt_2,train,TW8,8,left_upper_vertical,-16.221243789,-4.29586592014,11.9253778689,True,11.9253778689,450.844131255
salt_2,train,TW9,9,cooled_incline_pre_hx,-1.884340688,7.65893816003,9.54327884803,False,9.54327884803,436.077557212
salt_3,transfer,TW1,1,right_vertical,-39.250746372,-10.6506753573,28.6000710147,True,28.6000710147,481.160338645
salt_3,transfer,TW11,11,cooled_incline_post_hx,-14.110776393,-9.33169558663,4.77908080637,True,4.77908080637,456.69509287
salt_3,transfer,TW2,2,right_vertical,-34.993235072,-8.77526307816,26.2179719938,True,26.2179719938,476.506760488
salt_3,transfer,TW3,3,right_vertical,-12.187410807,11.648462166,23.835872973,True,23.835872973,453.527111288
salt_3,transfer,TW4,4,heated_incline,-10.351218444,11.1025555082,21.4537739522,False,21.4537739522,453.830407408
salt_3,transfer,TW5,5,heated_incline,-8.371969994,10.6997049373,19.0716749313,False,19.0716749313,454.176355876
salt_3,transfer,TW6,6,heated_incline,-6.406944164,10.2826317465,16.6895759105,False,16.6895759105,454.767092905
salt_3,transfer,TW7,7,left_lower_vertical,-14.188591156,0.11888573369,14.3074768897,True,14.3074768897,464.604194707
salt_3,transfer,TW8,8,left_upper_vertical,-14.276612567,-2.35123469814,11.9253778689,True,11.9253778689,463.526137456
salt_3,transfer,TW9,9,cooled_incline_pre_hx,0.939536791,10.482815639,9.543278848,False,9.54327884803,447.895683748
salt_4,transfer,TW1,1,right_vertical,-38.914300141,-10.3142291263,28.6000710147,True,28.6000710147,497.778741115
salt_4,transfer,TW11,11,cooled_incline_post_hx,-11.684568295,-6.90548748863,4.77908080637,True,4.77908080637,471.225751056
salt_4,transfer,TW2,2,right_vertical,-34.706697265,-8.48872527116,26.2179719938,True,26.2179719938,493.166375763
salt_4,transfer,TW3,3,right_vertical,-11.111502049,12.724370924,23.835872973,False,23.835872973,469.410350541
salt_4,transfer,TW4,4,heated_incline,-8.331055108,13.1227188442,21.4537739522,False,21.4537739522,468.693434742
salt_4,transfer,TW5,5,heated_incline,-6.164728117,12.9069468143,19.0716749313,False,19.0716749313,468.763665326
salt_4,transfer,TW6,6,heated_incline,-3.870175098,12.8194008125,16.6895759105,False,16.6895759105,468.959118106
salt_4,transfer,TW7,7,left_lower_vertical,-13.746380574,0.56109631569,14.3074768897,True,14.3074768897,480.810639602
salt_4,transfer,TW8,8,left_upper_vertical,-13.018973069,-1.09359520014,11.9253778689,True,11.9253778689,478.947183579
salt_4,transfer,TW9,9,cooled_incline_pre_hx,2.874608504,12.417887352,9.543278848,False,9.54327884803,462.663125183
