candidate_family,predeclared_equations_ready,runtime_inputs_clean,parameter_count_declared,source_property_labels_ready,uq_mesh_ready,pressure_residual_output_ready,thermal_residual_output_ready,train_execution_allowed,decision
M0_setup_only_baseline,false,true,false,false,false,false,false,false,baseline_needed_but_not_candidate_preflight
M3_segment_only_fluid_walls,false,true,false,false,false,false,true,false,diagnostic_comparator_only
M2_passive_wall_test_section_repair,false,false,false,false,false,false,true,false,blocked_by_passive_H2_train_context_only
PASSIVE-H2-CAND001,false,true,false,false,false,false,true,false,blocked_by_numeric_q_loss_and_split_release
S13_upcomer_exchange_cell,false,true,false,false,false,false,true,false,blocked_by_same_label_coarse_GCI_and_release
MF01_ordinary_F6,false,true,false,false,false,false,false,false,blocked_by_terminal_endpoint_and_ordinary_flow
MF02_section_effective_pressure,false,true,false,false,false,true,false,false,diagnostic_pressure_coupling_only
MF12_bulk_to_TP_projection,false,true,false,false,false,false,true,false,blocked_by_projection_source_basis_and_same_QOI_UQ
M6_final_frozen_candidate,false,true,false,false,false,false,false,false,no_upstream_candidate
MF18_bulk_integral_residual_owner_setup_candidate,true,true,true,false,false,true,true,false,predeclared_contract_no_execution_until_release_gates_pass
