candidate_id,case_id,branch,candidate_bucket,leg_class,preferred_future_anchor,sampled_endpoint_rows_now,max_RAF_sampled_now,max_RMF_sampled_now,ordinary_flow_pass_now,endpoint_pair_ready_now,same_qoi_uq_ready_now,source_property_labels_available,f6_fit_ready_now,f3_f6_revisit_allowed_now,primary_blockers,next_unblock_action,claim_boundary,source_paths
named_pressure:001,salt_2,lower_leg,blocked_missing_endpoint,blocked_missing_endpoint,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:002,salt_2,right_leg,ordinary_f6_candidate,ordinary_straight_candidate,True,4,0.384647044082,0.499999423906,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,do_not_fit; find lower-recirculation or forced/alternate branch anchor before endpoint/UQ scoring,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:003,salt_2,left_lower_leg,excluded_recirculation,recirculating_non_upcomer_diagnostic,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:004,salt_2,test_section_span,ordinary_f6_candidate,ordinary_straight_candidate,True,4,0.635638538588,0.500002483655,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,do_not_fit; find lower-recirculation or forced/alternate branch anchor before endpoint/UQ scoring,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:005,salt_2,left_upper_leg,excluded_recirculation,recirculating_non_upcomer_diagnostic,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:006,salt_2,upper_leg,blocked_missing_endpoint,blocked_missing_endpoint,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:007,salt_3,lower_leg,blocked_missing_endpoint,blocked_missing_endpoint,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:008,salt_3,right_leg,ordinary_f6_candidate,ordinary_straight_candidate,True,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:009,salt_3,left_lower_leg,excluded_recirculation,recirculating_non_upcomer_diagnostic,False,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq;ordinary_branch_slot,keep_out_of_ordinary_F6; use only as diagnostic or future separate model-form lane,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
named_pressure:010,salt_3,test_section_span,ordinary_f6_candidate,ordinary_straight_candidate,True,0,,,False,False,False,True,False,False,ordinary_flow;finite_raw_endpoint_pair;same_qoi_mesh_time_uq,claim exact raw endpoint sampler row only after terminal source cases and paths are ready,no F6/component-K/F3-Shah comparison until all gate columns pass,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_f6_nonrecirculating_pressure_anchor_plan/named_pressure_anchor_slots.csv;work_products/2026-07/2026-07-21/2026-07-21_f6_endpoint_raw_face_sampler/ordinary_flow_gate.csv
