case_id,source_id,target_time_window_s,step_order,command_label,command,run_now,required_environment,output_expected,guardrail
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,7915,1,stage_read_only_case_copy,cp -a <trusted_case_root_for_salt_2> $TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight,False,future compute/staging row,$TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight/system/controlDict,stage first; do not write controlDict into native/source case
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,7915,2,write_endpoint_sampling_control_dict,python3 tools/extract/sample_physical_segment_interface_temperatures.py write-control-dict --case-dir $TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight --time 7915 --source-id viscosity_screening_salt_test_2_jin_coarse_mesh --case-id salt_2,False,future compute/staging row,thermalInterfaceSurfaces point-and-normal planes for upcomer endpoint faces,command mutates staged system/controlDict only
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,7915,3,run_openfoam_sampling_on_compute,postProcess -case $TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight -func thermalInterfaceSurfaces -time 7915,False,compute node with OpenFOAM environment,$TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight/postProcessing/thermalInterfaceSurfaces/7915/,do not run on login node; no native/source mutation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,7915,4,parse_endpoint_samples,python3 tools/extract/sample_physical_segment_interface_temperatures.py parse-openfoam-samples --case-dir $TASK_STAGED_CASES/salt_2_throughflow_endpoint_preflight --time 7915 --source-id viscosity_screening_salt_test_2_jin_coarse_mesh --case-id salt_2 --output-dir <task_output_dir>/salt_2,False,login-safe after sampled raw files exist,"openfoam_interface_samples.csv with T_bulk, mdot proxies, backflow fractions",parse only; residual value remains blocked until cp/storage/named-loss gates pass
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,7618,1,stage_read_only_case_copy,cp -a <trusted_case_root_for_salt_3> $TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight,False,future compute/staging row,$TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight/system/controlDict,stage first; do not write controlDict into native/source case
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,7618,2,write_endpoint_sampling_control_dict,python3 tools/extract/sample_physical_segment_interface_temperatures.py write-control-dict --case-dir $TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight --time 7618 --source-id viscosity_screening_salt_test_3_jin_coarse_mesh --case-id salt_3,False,future compute/staging row,thermalInterfaceSurfaces point-and-normal planes for upcomer endpoint faces,command mutates staged system/controlDict only
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,7618,3,run_openfoam_sampling_on_compute,postProcess -case $TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight -func thermalInterfaceSurfaces -time 7618,False,compute node with OpenFOAM environment,$TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight/postProcessing/thermalInterfaceSurfaces/7618/,do not run on login node; no native/source mutation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,7618,4,parse_endpoint_samples,python3 tools/extract/sample_physical_segment_interface_temperatures.py parse-openfoam-samples --case-dir $TASK_STAGED_CASES/salt_3_throughflow_endpoint_preflight --time 7618 --source-id viscosity_screening_salt_test_3_jin_coarse_mesh --case-id salt_3 --output-dir <task_output_dir>/salt_3,False,login-safe after sampled raw files exist,"openfoam_interface_samples.csv with T_bulk, mdot proxies, backflow fractions",parse only; residual value remains blocked until cp/storage/named-loss gates pass
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,10000,1,stage_read_only_case_copy,cp -a <trusted_case_root_for_salt_4> $TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight,False,future compute/staging row,$TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight/system/controlDict,stage first; do not write controlDict into native/source case
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,10000,2,write_endpoint_sampling_control_dict,python3 tools/extract/sample_physical_segment_interface_temperatures.py write-control-dict --case-dir $TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight --time 10000 --source-id viscosity_screening_salt_test_4_jin_coarse_mesh --case-id salt_4,False,future compute/staging row,thermalInterfaceSurfaces point-and-normal planes for upcomer endpoint faces,command mutates staged system/controlDict only
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,10000,3,run_openfoam_sampling_on_compute,postProcess -case $TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight -func thermalInterfaceSurfaces -time 10000,False,compute node with OpenFOAM environment,$TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight/postProcessing/thermalInterfaceSurfaces/10000/,do not run on login node; no native/source mutation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,10000,4,parse_endpoint_samples,python3 tools/extract/sample_physical_segment_interface_temperatures.py parse-openfoam-samples --case-dir $TASK_STAGED_CASES/salt_4_throughflow_endpoint_preflight --time 10000 --source-id viscosity_screening_salt_test_4_jin_coarse_mesh --case-id salt_4 --output-dir <task_output_dir>/salt_4,False,login-safe after sampled raw files exist,"openfoam_interface_samples.csv with T_bulk, mdot proxies, backflow fractions",parse only; residual value remains blocked until cp/storage/named-loss gates pass
