source_id,path,use,mutation_status
figure_asset_selection_ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_figure_asset_selection/figure_candidate_ledger.csv,prior figure candidate selection,read_only
figure_copy_decision_table,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_figure_asset_selection/copy_decision_table.csv,prior copy policy,read_only
thesis_figure_plan,reports/thesis_dossier/Chapters_and_sections/current/12_thesis_figures_and_diagrams_plan.md,thesis figure destination context,read_only
csem_figure_table_package,reports/thesis_dossier/Chapters_and_sections/current/21_csem_figure_table_incorporation_package.md,figure and table incorporation context,read_only
s13_predictive_path_status,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,selected figure source,read_only
s12_residual_owner_waterfall,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,selected figure source,read_only
projection_operator_map,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/figures/svg/1d_sensor_projection_operator_map.svg,selected figure source,read_only
tp_tw_projection_rmse,work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/figures/svg/d2_tp_tw_projection_transfer_rmse.svg,selected figure source,read_only
thermal_reset_residual,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/figures/svg/mf07_tp_residual_vs_reset.svg,selected figure source,read_only
scoreboard_signed_shape,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/signed_error_shape_by_sensor.svg,selected figure source,read_only
scoreboard_bias_shape,work_products/2026-07/2026-07-22/2026-07-22_thesis_scoreboard_signed_error_shape_and_model_form_dispatch/figures/svg/bias_vs_shape_residual.svg,selected figure source,read_only
model_form_ladder,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/model_form_ladder_no_admission.svg,selected figure source,read_only
blocked_scorecard_waterfall,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/blocked_scorecard_waterfall.svg,selected figure source,read_only
m3_tp_tw_salt2,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_2.svg,selected figure source,read_only
m3_tp_tw_salt3,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_3.svg,selected figure source,read_only
m3_tp_tw_salt4,work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/figures/svg/m3_tp_tw_temperature_vs_elevation_salt_4.svg,selected figure source,read_only
