sensor,kind,acceptance_class,score_target_use,score_table_effect,allowed_score_use
TP1,TP,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TP2,TP,mapped,post_solve_score_target_only,yes_after_projection_source_segment_and_finite_prediction_gates,yes_after_projection_source_and_finiteness_gates
TP3,TP,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TP4,TP,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TP5,TP,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TP6,TP,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW1,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW2,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW3,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW4,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW5,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW6,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW7,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW8,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW9,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
TW10,TW,excluded,excluded_from_score,no,no
TW11,TW,bounded,post_solve_score_target_only,yes,yes_after_projection_source_and_finiteness_gates
