artifact,observed_rows_or_state,usable_for_terminal_qoi,usable_for_mesh_gci,post_sampler_disposition,reason,source_path
summary.json,decision=partial_or_failed_sampling_fail_closed,false,false,fail_closed,sampler completed but reported partial_or_failed_sampling_fail_closed,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
mesh_level_geometry_summary.csv,6 geometry rows,true,false,geometry_only_useful,all six medium/fine case-mesh geometry masks released,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
medium_fine_terminal_window_reductions.csv,header_only,false,false,not_usable,no terminal window reductions were written,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
medium_fine_exact_label_qoi_rows.csv,header_only,false,false,not_usable,no exact-label QOI rows were written,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
sampling_error_log.csv,6 error rows,false,false,repair_required,every case-mesh failed with missing face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
trusted_wall_Q_wall_detail_rows.csv,header_only,false,false,not_usable,no wallHeatFlux face details were written,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/output_usable_gate.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_2 missing 190008 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_2 missing 87696 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_3 missing 190008 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_3 missing 87696 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_4 missing 190008 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
sampling_error_cause,1 rows,False,False,repair_required,salt_4 missing 87696 face area vectors,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/sampling_error_log.csv
job_duplicate_resolution,jobs_completed=2; cancellation=False,False,False,duplicate_jobs_completed_no_cancellation_needed_sampler_fail_closed_no_terminal_qoi_rows,duplicate jobs completed before cancellation; package still fail-closed,work_products/2026-07/2026-07-22/2026-07-22_s13_medium_fine_sampler_duplicate_job_monitor/summary.json
sampler_summary,terminal=0; exact_qoi=0; errors=6,False,False,partial_or_failed_sampling_fail_closed,sampler closeout summary is the controlling post-trigger evidence,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_medium_fine_exact_label_sampler/summary.json
