guardrail,value
native_output_mutation,False
registry_or_admission_mutation,False
scheduler_action,False
solver_sampler_or_harvest_launch,False
fluid_or_external_edit,False
thesis_current_or_latex_edit,False
source_property_or_qwall_release,False
coefficient_admission,False
candidate_freeze,False
protected_or_final_scoring,False
fitting_or_model_selection,False
hidden_multiplier,False
borrowed_gci_or_fabricated_monotonicity,False
mesh_gci_admission_beyond_asymptotic_range_check,False
s11_s15_s6_trigger_fired,False
deletion_staging_commit_push,False
